date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-11 19:00:00,37.1645511524196,36.0736758093351,46.5919541084741,19,2,Winter,38.6,5.41,92.28
2023-02-11 20:00:00,44.0122574309542,41.6577558932075,53.363411347795,20,2,Winter,48.2,4.28,98.8
2023-02-11 21:00:00,44.7791902387698,41.6999757512314,53.6188726711737,21,2,Winter,49.2,3.24,99.9
2023-02-11 22:00:00,44.5362274069562,42.7472672760357,54.8003385141687,22,2,Winter,48.0,2.65,99.9
2023-02-11 23:00:00,44.2818391818858,42.2986761211706,54.3877775722881,23,2,Winter,47.2,1.85,99.9
2023-02-12 00:00:00,36.9539028547725,37.6495678626201,48.3778601001034,0,2,Winter,38.8,1.49,99.9
2023-02-12 01:00:00,37.9540503352875,38.8686765137109,50.2189236304298,1,2,Winter,39.3,0.92,99.9
2023-02-12 02:00:00,36.4243566934958,37.5009714160445,47.5958274024955,2,2,Winter,38.2,0.53,99.9
2023-02-12 03:00:00,30.8294803940033,34.388402929539,44.0896671306248,3,2,Winter,32.1,0.2,99.9
2023-02-12 04:00:00,22.6648935219459,30.8188359320415,37.2785108703723,4,2,Winter,27.6,0.02,99.9
2023-02-12 05:00:00,23.3354779613274,31.3063583360364,38.5660776884979,5,2,Winter,27.3,-0.41,99.9
2023-02-12 06:00:00,28.891888006501,34.2966543376318,42.9877016062281,6,2,Winter,31.2,-0.62,99.9
2023-02-12 07:00:00,33.9311468017285,37.8368993317702,46.0970643424383,7,2,Winter,38.0,-0.68,99.9
2023-02-12 08:00:00,22.7127955421469,31.7734194931103,39.0478135470362,8,2,Winter,26.3,-0.68,99.9
2023-02-12 09:00:00,38.7851868302326,40.3494890563557,51.4638214501297,9,2,Winter,39.5,0.61,99.9
2023-02-12 10:00:00,37.8794782160732,38.5182966137859,48.6116336304548,10,2,Winter,38.2,2.05,99.9
2023-02-12 11:00:00,28.3710238747585,27.6687777215335,37.2442104692418,11,2,Winter,28.7,10.47,85.04
2023-02-12 12:00:00,27.8969853592153,25.8822798438875,35.418129801669,12,2,Winter,25.7,20.01,53.77
2023-02-12 13:00:00,30.7920752020586,28.6099197038422,37.637720890549,13,2,Winter,29.3,22.66,48.94
2023-02-12 14:00:00,27.9604759266842,27.436996199385,35.4946875496505,14,2,Winter,27.0,24.65,45.32
2023-02-12 15:00:00,27.4620606786843,22.5391332016977,35.2970136039703,15,2,Winter,25.6,17.27,54.54
2023-02-12 16:00:00,28.1224669057797,29.435357241862,37.2743480313314,16,2,Winter,29.7,11.43,67.89
